Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Pakistan,Price / Pakistan,Compare At Price / Pakistan,Status
organic-coconut-oil-100-pure-natural-premium-grade-coconut-oil-massage-oil-moisturizing-hair-oil-body-oil-50ml,"Organic Coconut Oil - 100% Pure & Natural Premium Grade Coconut Oil , Massage Oil, Moisturizing Hair Oil & Body Oil - 50ml","<ul class="""" data-spm-anchor-id=""a2a0e.pdp.product_detail.i0.47a4jYXAjYXAGF"" data-mce-fragment=""1"">
<li class="""" data-mce-fragment=""1"">100% PURE &amp; NATURAL COCONUT OIL is one of the most versatile oils and has endless uses. It is most commonly used for aromatherapy, essential oils, massage, and as a hair &amp; skin moisturizer. Our premium quality coconut oil Fragrance Free, Hexane Free, Preservative Free, Chemical Free, and 100% Vegan.</li>
<li class="""" data-mce-fragment=""1"">COCONUT OIL FOR SKIN there are countless health benefits to using this oil topically to your skin. Scientists have figured out that this oil contains a unique combination of fatty acids with powerful medicinal properties that feed and moisturize the skin. It is light weight, provides a silky-smooth feeling for all skin types without clogging pores all while nourishing and moisturizing.</li>
<li class="""" data-mce-fragment=""1"">COCONUT OIL FOR HAIR GROWTH is rich in antioxidants, and has powerful properties. When used on hair, fractioned coconut oil helps improve scalp health, fights infections and fungus, supports hair growth, all while adding volume and shine without the common harmful chemicals.</li>
<li class="""" data-mce-fragment=""1""><br></li>
</ul>",MHB - MEMOONA HEALTH & BEAUTY,Health & Beauty > Personal Care > Cosmetics > Skin Care > Body Oil,Body Oil,"Coconut Oil, Premium Oil, Premium Oils",true,Title,50ml,,,,,,200.0,shopify,8,deny,manual,250.00,,true,false,,https://cdn.shopify.com/s/files/1/0516/1677/6382/products/amberbottlecoconutmock1.jpg?v=1667284559,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,active
organic-coconut-oil-100-pure-natural-premium-grade-coconut-oil-massage-oil-moisturizing-hair-oil-body-oil-50ml,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0516/1677/6382/products/amberbottlecoconutmock2.jpg?v=1667284558,2,"",,,,,,,,,,,,,,,,,,,,,,
retinol-cream,Retinol Cream for Face - 50ml,"<ul class="""" data-mce-fragment=""1"">
<li class="""" data-spm-anchor-id=""a2a0e.pdp.product_detail.i0.15f6f1Pmf1Pmiu"" data-mce-fragment=""1"">ADVANCED FORMULA: Experience smooth, bright, lifted, and rejuvenated skin without dryness. This maximum strength retinol cream combats wrinkles, fine lines, uneven skin tone, rough texture, and loss of firmness.</li>
<li class="""" data-mce-fragment=""1"">HIGH POTENCY RESULTS: Infused with a carefully balanced blend of ingredients, our wrinkle cream for the face features aloe, hyaluronic acid, vitamin E, green tea, shea butter, and jojoba oil to reveal your complexion’s radiant and natural beauty.</li>
<li class="""" data-mce-fragment=""1"">TRIPLE DUTY BEAUTY BENEFITS: With a lightweight texture and zero residue, our retinol eye cream absorbs immediately. It can be used in the morning and evening and is gentle enough to use around the eyes, décolleté, and hands for added protection.</li>
<li class="""" data-mce-fragment=""1"">BANISHES BLEMISHES: Minimize the appearance of redness and scars. This potent anti-wrinkle face cream smooths and softens uneven skin texture and tone. It's non-comedogenic and clears breakouts without clogging pores or causing further irritation.</li>
</ul>",MHB - MEMOONA HEALTH & BEAUTY,,"",FACE CARE,true,Title,Default Title,,,,,"",200.0,shopify,5,deny,manual,1750.00,,true,false,"",https://cdn.shopify.com/s/files/1/0516/1677/6382/products/HeroImage_6.png?v=1698450313,1,"",false,,,,,,,,,,,,,,,kg,,500.00,true,,,active
retinol-cream,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0516/1677/6382/products/HeroImage_4.png?v=1698450312,2,"",,,,,,,,,,,,,,,,,,,,,,
retinol-cream,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0516/1677/6382/products/canvas-1-63d3b4cd78bdf80ad2624683.jpg?v=1698450311,3,Retinol Cream,,,,,,,,,,,,,,,,,,,,,,
retinol-cream,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0516/1677/6382/products/canvas-1-63d3b53978bdf80ad2624692.jpg?v=1675746270,4,"",,,,,,,,,,,,,,,,,,,,,,
retinol-cream,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0516/1677/6382/products/main-canvas-63d3b4e278bdf80ad2624688.png?v=1675746298,5,"",,,,,,,,,,,,,,,,,,,,,,
pack-of-3-rose-facewash,"Pack of 3 Pure Rose Extract 5 in 1 - Scrub, Mask, Facial Cleansing, Face Wash, Moisturizing, Pinkish Glow - 150ml Each","Introducing MHB Glow &amp; Shine Rose and Honey Face Wash with Almond Scrub:<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Indulge in the ultimate pampering experience with our MHB Glow &amp; Shine Rose and Honey Face Wash with Almond Scrub. This luxurious face wash is carefully crafted with natural ingredients that will leave your skin feeling refreshed, rejuvenated, and glowing with radiance.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Key Ingredients:<br data-mce-fragment=""1""><br data-mce-fragment=""1"">1. Rose Extracts: Infused with the essence of fresh roses, this face wash provides a calming and soothing effect on the skin. Rose extracts are rich in antioxidants, helping to combat free radicals and reducing the signs of aging, leaving your skin looking youthful and supple.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">2. Honey: Known for its excellent moisturizing properties, honey locks in hydration, leaving your skin soft and nourished. It also helps to promote a natural, healthy glow, making your complexion look radiant and luminous.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">3. Almond Scrub: The gentle almond scrub particles in the face wash work effectively to exfoliate the skin, removing dead skin cells and impurities. Regular use of the almond scrub will help improve skin texture, making it smoother and more even-toned.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Key Benefits:<br data-mce-fragment=""1""><br data-mce-fragment=""1"">1. Deep Cleansing: The formula effectively removes dirt, excess oil, and impurities from the skin, leaving it fresh and clean.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">2. Exfoliation: The almond scrub particles gently exfoliate the skin, promoting a brighter and more radiant complexion.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">3. Hydration: The combination of honey and rose extracts provides ample hydration, keeping your skin moisturized throughout the day.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">4. Soothing &amp; Nourishing: The natural ingredients soothe the skin, reducing redness and irritation, while nourishing it with essential nutrients.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">5. Revitalizing Fragrance: The enchanting fragrance of roses uplifts your senses, creating a delightful and refreshing experience during each use.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Directions for Use:<br data-mce-fragment=""1""><br data-mce-fragment=""1"">1. Wet your face with water.<br data-mce-fragment=""1"">2. Take a small amount of the MHB Glow &amp; Shine Rose and Honey Face Wash with Almond Scrub onto your palm.<br data-mce-fragment=""1"">3. Gently massage the face wash in a circular motion on your wet face, avoiding the eye area.<br data-mce-fragment=""1"">4. Rinse thoroughly with water and pat dry with a soft towel.<br data-mce-fragment=""1"">5. For best results, follow with your favorite moisturizer.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Experience the magic of MHB Glow &amp; Shine Rose and Honey Face Wash with Almond Scrub, and let your skin radiate with natural beauty. Pamper yourself with this invigorating face wash and unlock a truly refreshing and rejuvenating skincare ritual. Say hello to a fresh, glowing, and revitalized complexion with each use!",MHB - MEMOONA HEALTH & BEAUTY,Health & Beauty > Personal Care > Cosmetics > Skin Care,FACEWASH,"FACEWASH, MHB FACEWASH, Rose Facewash",true,Title,Default Title,,,,,packof3rosefacewash,500.0,shopify,10,deny,manual,2000.00,,true,false,"",https://cdn.shopify.com/s/files/1/0516/1677/6382/files/312f633634d95f9cb757a83059e68a9d.jpg?v=1698450312,1,"",false,Glow & Shine - Rose and Honey Face Wash with Almond Scrub,"Indulge in the ultimate pampering experience with our MHB Glow & Shine Rose and Honey Face Wash with Almond Scrub. This luxurious face wash is carefully crafted with natural ingredients that will leave your skin feeling refreshed, rejuvenated, and glowing with radiance.",,,,,,,,,,,,,kg,,300.00,true,,,active
red-onion-conditioner-with-biotin-paraben-free,Red Onion Conditioner with Biotin Paraben Free,"<span>Elevate your hair care routine with our Paraben-Free Red Onion Conditioner, enriched with the power of Biotin. Experience the magic of this unique combination as it nurtures your hair back to life. Red Onion extract, known for its hair-strengthening properties, teams up with Biotin, a key player in promoting hair growth. Together, they work to hydrate, strengthen, and add luster to your locks. Wave goodbye to parabens and welcome the natural goodness of this conditioner. Unleash the potential of healthier, thicker hair, naturally.</span>",MHB - MEMOONA HEALTH & BEAUTY,Health & Beauty > Personal Care > Hair Care > Shampoo & Conditioner > Conditioners,CONDITIONER,Conditioner,true,Title,Default Title,,,,,,200.0,shopify,5,deny,manual,975.00,,true,true,,https://cdn.shopify.com/s/files/1/0516/1677/6382/files/RedOnionConditionerwithBiotinParabenFree.png?v=1698450310,1,"",false,,"Elevate your hair care with our Paraben-Free Red Onion Conditioner, enriched with the power of Biotin. Experience the magic of this unique combination as it nurtures your hair back to life. Red Onion extract, known for its hair-strengthening properties, teams up with Biotin, a key player in promoting hair growth.",,,,,,,,,,,,,kg,,600.00,true,,,active
red-onion-black-seed-oil-sulfate-free-shampoo,Red Onion Black Seed Oil Sulfate Free Shampoo - DHT Blocker,"Introducing our sulfate-free Red Onion Black Seed Oil Shampoo, a potent DHT blocker designed to nurture your hair from the roots. This unique formula combines the enriching benefits of Red Onion and Black Seed Oil to create a dynamic duo that promotes healthier, thicker hair. Say goodbye to sulfates and hello to a natural solution that cleanses, strengthens, and revitalizes your locks. Experience the power of this sulfate-free shampoo, and let it be the key to achieving hair that's not only clean but also fortified and protected against hair loss.",MHB - MEMOONA HEALTH & BEAUTY,Health & Beauty > Personal Care > Hair Care > Shampoo & Conditioner > Shampoo,SHAMPOO,"SLS FREE SHAMPOO, Sulfate Free, Sulfate Free Shampoo",true,Title,Default Title,,,,,,200.0,shopify,19,deny,manual,1235.00,,true,true,,https://cdn.shopify.com/s/files/1/0516/1677/6382/files/RedOnionBlackSeedOilSulfateFreeShampoo-DHTBlocker.png?v=1698450311,1,"",false,,"Introducing our sulfate-free Red Onion Black Seed Oil Shampoo, a potent DHT blocker designed to nurture your hair from the roots. This unique formula combines the enriching benefits of Red Onion and Black Seed Oil to create a dynamic duo that promotes healthier, thicker hair. Say goodbye to sulfates",,,,,,,,,,,,,kg,,600.00,true,,,active
